year,price,transmission,mileage,fuelType,engineSize
2015,13500.0,Semi-Auto,37020.0,Diesel,1.6
2019,42099.0,Semi-Auto,3076.0,Petrol,3.0
2014,12100.0,Semi-Auto,55731.0,Diesel,2.1
2018,21691.0,Automatic,13910.0,Diesel,2.1
2019,38995.0,Automatic,500.0,Petrol,3.0
2019,25980.0,Semi-Auto,12285.0,Petrol,1.5
2019,29699.0,Semi-Auto,5230.0,Diesel,2.0
2019,19799.0,Semi-Auto,14380.0,Petrol,1.5
2019,30980.0,Semi-Auto,16.0,Diesel,2.0
2016,17799.0,Automatic,53613.0,Diesel,2.1
2019,19849.0,Semi-Auto,13794.0,Petrol,1.5
2014,16300.0,Automatic,32613.0,Petrol,2.0
2019,28800.0,Semi-Auto,3116.0,Petrol,2.0
2018,21960.0,Semi-Auto,31639.0,Diesel,2.0
2019,25799.0,Semi-Auto,11056.0,Petrol,1.5
2017,17400.0,Automatic,30744.0,Diesel,2.1
2012,9799.0,Automatic,55685.0,Diesel,2.1
2015,15789.0,Semi-Auto,42164.0,Diesel,2.1
2019,26495.0,Automatic,2999.0,Petrol,1.5
2015,13100.0,Automatic,63955.0,Diesel,2.1
2017,18799.0,Semi-Auto,17274.0,Diesel,2.1
2017,22799.0,Semi-Auto,11304.0,Diesel,2.1
2019,24399.0,Semi-Auto,13469.0,Diesel,2.0
2015,14490.0,Semi-Auto,51866.0,Diesel,2.1
2019,39995.0,Semi-Auto,4604.0,Petrol,3.0
2020,29999.0,Semi-Auto,100.0,Diesel,2.0
2014,10498.0,Semi-Auto,51929.0,Diesel,2.1
2016,16822.0,Automatic,42402.0,Hybrid,2.0
2013,8990.0,Manual,74000.0,Petrol,1.6
2019,20980.0,Semi-Auto,13645.0,Diesel,2.0
2019,29995.0,Automatic,2343.0,Diesel,2.0
2015,14995.0,Automatic,49850.0,Diesel,2.1
2014,14990.0,Automatic,54000.0,Diesel,2.1
2019,33149.0,Semi-Auto,9000.0,Diesel,2.0
2018,23990.0,Automatic,11387.0,Diesel,2.0
2016,18799.0,Semi-Auto,20115.0,Petrol,2.0
2019,28700.0,Semi-Auto,4000.0,Petrol,1.5
2015,17399.0,Semi-Auto,21019.0,Diesel,2.1
2019,30049.0,Semi-Auto,5927.0,Petrol,2.0
2019,30099.0,Semi-Auto,2924.0,Diesel,2.0
2017,27995.0,Automatic,4495.0,Petrol,2.0
2017,13980.0,Manual,21300.0,Petrol,2.0
2020,30990.0,Semi-Auto,2780.0,Diesel,2.0
2019,39790.0,Automatic,3700.0,Diesel,2.0
2019,27699.0,Automatic,5307.0,Diesel,1.6
2019,28500.0,Semi-Auto,5107.0,Petrol,1.5
2019,23949.0,Automatic,12076.0,Petrol,1.5
2014,12600.0,Automatic,52379.0,Petrol,2.0
2014,11900.0,Manual,48055.0,Diesel,2.1
2017,19498.0,Automatic,27236.0,Diesel,2.1
2019,32495.0,Automatic,4999.0,Diesel,2.0
2014,12500.0,Automatic,50364.0,Diesel,2.1
2019,26799.0,Semi-Auto,10871.0,Diesel,2.0
2016,19349.0,Automatic,33608.0,Diesel,2.1
2019,26299.0,Semi-Auto,8059.0,Petrol,1.5
2019,26299.0,Semi-Auto,13237.0,Petrol,1.5
2018,24546.0,Automatic,12397.0,Diesel,2.1
2019,32069.0,Automatic,1000.0,Diesel,2.0
2019,21099.0,Semi-Auto,4535.0,Petrol,1.5
2019,24000.0,Semi-Auto,7286.0,Petrol,1.5
2019,24724.0,Semi-Auto,10545.0,Petrol,1.5
2019,35000.0,Automatic,1250.0,Petrol,2.0
2018,24999.0,Automatic,9695.0,Diesel,2.0
2019,29099.0,Semi-Auto,7027.0,Petrol,2.0
2019,19799.0,Semi-Auto,14311.0,Petrol,1.5
2019,28896.0,Automatic,5044.0,Diesel,2.0
2016,24950.0,Semi-Auto,17635.0,Diesel,2.1
2018,18819.0,Automatic,30772.0,Diesel,2.1
2015,16315.0,Semi-Auto,46155.0,Diesel,2.1
2017,16402.0,Automatic,22214.0,Petrol,2.0
2019,32499.0,Automatic,3250.0,Petrol,2.0
2017,23998.0,Semi-Auto,14462.0,Diesel,2.1
2016,17990.0,Semi-Auto,30795.0,Diesel,2.1
2019,25899.0,Semi-Auto,3780.0,Petrol,2.0
2017,22995.0,Semi-Auto,38471.0,Diesel,2.1
2015,15498.0,Manual,32140.0,Diesel,2.1
2015,17690.0,Automatic,32019.0,Diesel,2.1
2017,18200.0,Semi-Auto,25296.0,Diesel,2.1
2016,13691.0,Semi-Auto,36538.0,Diesel,1.6
2019,25499.0,Semi-Auto,16121.0,Diesel,2.0
2017,15995.0,Automatic,29489.0,Diesel,2.1
2020,44995.0,Semi-Auto,250.0,Petrol,2.0
2017,20000.0,Manual,28831.0,Diesel,2.1
2019,31480.0,Semi-Auto,7524.0,Diesel,2.0
2019,23849.0,Semi-Auto,14079.0,Diesel,2.0
2019,20199.0,Semi-Auto,11381.0,Petrol,1.5
2019,20699.0,Semi-Auto,13628.0,Diesel,2.0
2019,29099.0,Semi-Auto,5088.0,Petrol,1.5
2015,11998.0,Manual,52792.0,Diesel,1.6
2019,25830.0,Automatic,6516.0,Diesel,1.6
2019,25199.0,Semi-Auto,14708.0,Petrol,1.5
2015,13400.0,Automatic,51245.0,Diesel,2.1
2017,20623.0,Automatic,37013.0,Diesel,2.1
2019,28990.0,Automatic,1544.0,Diesel,2.0
2019,34989.0,Automatic,4131.0,Diesel,2.0
2015,14698.0,Semi-Auto,39687.0,Petrol,2.0
2019,31299.0,Semi-Auto,4831.0,Diesel,2.0
2019,30980.0,Semi-Auto,3254.0,Diesel,2.0
2015,12000.0,Automatic,40005.0,Diesel,2.1
2017,27462.0,Automatic,13258.0,Petrol,2.0
2019,31299.0,Semi-Auto,4233.0,Diesel,2.0
2019,32049.0,Semi-Auto,2365.0,Diesel,2.0
2019,20480.0,Semi-Auto,14620.0,Petrol,1.5
2019,19799.0,Semi-Auto,14160.0,Petrol,1.5
2019,32980.0,Automatic,2000.0,Diesel,2.0
2016,17699.0,Automatic,32044.0,Diesel,2.1
2017,18115.0,Semi-Auto,20846.0,Petrol,2.0
2016,18450.0,Automatic,17050.0,Diesel,2.1
2020,34500.0,Semi-Auto,100.0,Diesel,2.0
2019,24450.0,Semi-Auto,15004.0,Diesel,2.0
2017,21495.0,Semi-Auto,17442.0,Diesel,2.1
2019,25000.0,Semi-Auto,13169.0,Petrol,1.5
2017,23699.0,Semi-Auto,7978.0,Diesel,2.1
2019,25829.0,Automatic,9924.0,Diesel,2.0
2019,26885.0,Semi-Auto,2622.0,Petrol,1.6
2019,27036.0,Automatic,10415.0,Diesel,2.0
2019,31650.0,Automatic,4216.0,Petrol,2.0
2016,30480.0,Semi-Auto,51218.0,Petrol,4.0
2014,15498.0,Semi-Auto,36243.0,Diesel,2.1
2017,25402.0,Semi-Auto,16212.0,Petrol,2.0
2016,14450.0,Semi-Auto,34000.0,Diesel,2.1
2014,16300.0,Automatic,30819.0,Petrol,2.0
2012,8299.0,Automatic,72005.0,Diesel,2.1
2019,30995.0,Semi-Auto,14.0,Petrol,2.0
2016,21299.0,Semi-Auto,12249.0,Petrol,2.0
2013,12000.0,Automatic,37236.0,Petrol,1.6
2016,16475.0,Automatic,34452.0,Diesel,2.1
2019,29748.0,Automatic,8000.0,Diesel,2.0
2019,24998.0,Semi-Auto,15009.0,Petrol,1.5
2019,49669.0,Semi-Auto,1000.0,Petrol,3.0
